pathway_id,frequency,criticality,criticality_band
0,0.09602544630642271,0.5,Moderate
1,0.09518785907079493,0.25,Low
2,0.19054421277611727,0.25,Low
3,0.06406154373918237,0.25,Low
4,0.03027436039120763,0.5,Moderate
5,0.04662281563323966,1.0,Critical
6,0.034262781650526736,0.25,Low
7,0.06599177991791737,0.75,High
8,0.13169528110995532,0.75,High
9,0.08831176116195284,0.5,Moderate
10,0.02546071974204503,0.5,Moderate
11,0.06536681879935692,1.0,Critical
12,0.010041851508132128,0.5,Moderate
13,0.05615276819314883,0.75,High
